d;Country;Area;ID;name;Name1;Name2;Name3;First case reported;Total;Confirmed cases;Neuro-invasive infections;Non neuro-invasive;Asymtomatic (blood donors)
51;?Bulgaria;?Burgas oblast;BG341;BG341 - Burgas;;;NA;?05/12/2012;?2;?2;;;
243;Austria;Wien city;AT130;AT130 - Wien;;;NA;19/08/2014;1;1;;;
305;Austria;Wien city;AT130;AT130 - Wien;;;NA;10/08/2015;2;2;;1;1
306;Austria;Wiener Umland/Nordteil district;AT126;AT126 - Wiener Umland/Nordteil;;;NA;07/09/2015;1;1;1;;
307;Austria;N/A;NA;NA;;;NA;03/09/2015;4;4;;3;1
369;Austria;Wien;AT130;AT130 - Wien;;;NA;22/08/2016;2;2;;2;1
370;Austria;Nordburgenland;AT112;AT112 - Nordburgenland;;;NA;12/12/2016;1;1;;;
371;Austria;Wiener Umland/Nordteil;AT126;AT126 - Wiener Umland/Nordteil;;;NA;22/08/2016;2;2;;;
456;Austria;Wiener Umland/Nordteil;AT126;AT126 - Wiener Umland/Nordteil;;;NA;21/08/2017;3;3;;3;
457;Austria;Wiener Umland/Südteil;AT127;AT127 - Wiener Umland/Südteil;;;NA;21/08/2017;2;2;;;2
308;Bulgaria;Sofia;BG412;BG412 - Sofia;;;NA;05/10/2015;1;0;;1;
309;Bulgaria;Sofia (stolitsa);BG411;BG411 - Sofia (stolitsa);;;NA;22/06/2015;1;0;;1;
372;Bulgaria;N/A;NA;NA;;;NA;17/10/2016;1;;1;;
458;Bulgaria;Silistra;BG325;BG325 - Silistra;;;NA;09/10/2017;1;;1;;
97;Croatia;Brodsko-posavska county;HR04A;;;;;17/09/2012;1;0;;;
98;Croatia;Osjecko-baranjska county;HR04B;;;;;10/09/2012;3;2;;;
99;Croatia;Vukovarsko-srijemska county;HR04C;;;;;10/09/2012;1;1;;;
145;Croatia;Medimurska county;HR046;;;;;12/09/2013;1;0;;;
146;Croatia;Zagreb;HR041;;;;;20/09/2013;7;0;;;
147;Croatia;Zagrebacka county;HR042;;;;;23/08/2013;8;1;;;
374;Croatia;Vukovarsko-srijemska zupanija;HR04C;;;;;29/08/2016;1;;;;
459;Croatia;Grad Zagreb;HR041;;;;;09/10/2017;2;2;2;;
460;Croatia;Sisa?ko-moslava?ka županija;HR04E;;;;;09/10/2017;1;1;1;;
461;Croatia;Osje?ko-baranjska županija;HR04B;;;;;09/10/2017;1;1;1;;
462;Croatia;Me?imurska županija;HR046;;;;;09/10/2017;1;1;1;;
375;Cyprus;Kypros/Kibris;CY000;CY000 - Kypros;;;;22/08/2016;1;1;;;
148;Czech republic;Moravskoslezsky kraj;CZ080;CZ080 - Moravskoslezský kraj;;;;15/09/2013;1;1;;;
429;Eqypt;N/A;NA;NA;;;;27/10/2016;1;1;;;
31;Former Yugoslav Republic of Macedonia;Skopje region;MK008;;;;;13/09/2011;4;-;;;
100;Former Yugoslav Republic of Macedonia;Krusevo municipality;MK005;;;;;24/09/2012;1;1;;;
